,index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height,cluster,z,
245,345,552783.2917,4183554.465,552761.2329,4183550.475,552756.7732,4183575.13,552778.832,4183579.12,0.78,5,31.34,
337,371,553526.5584,4182638.244,553511.0039,4182622.163,553493.2391,4182639.346,553508.7936,4182655.427,3.28,7,46.64,
343,511,553469.1363,4182590.611,553450.3572,4182571.34,553432.36,4182588.878,553451.1391,4182608.149,3.59,7,46.64,
219,93,553163.6518,4183432.779,553139.6635,4183429.128,553135.2649,4183458.034,553159.2533,4183461.685,3.87,5,31.34,
218,78,553128.4051,4183510.261,553100.8967,4183505.589,553093.7502,4183547.671,553121.2585,4183552.343,3.9,5,31.34,
211,6,553160.845,4183428.338,553139.7765,4183424.858,553135.8873,4183448.41,553156.9558,4183451.889,4.26,5,31.34,
340,399,553429.1206,4182678.92,553406.3383,4182665.657,553390.5809,4182692.722,553413.3632,4182705.986,4.56,7,46.64,
329,144,553455.3954,4182648.572,553428.6373,4182633.3,553414.1,4182658.771,553440.8581,4182674.043,4.68,7,46.64,
117,708,552502.4359,4183140.257,552479.1097,4183136.111,552473.9853,4183164.941,552497.3116,4183169.087,4.84,1,37.5,
237,284,553344.5974,4183798.895,553119.9922,4183633.703,553093.2572,4183670.053,553317.8624,4183835.246,4.96,5,31.34,
347,567,553470.2939,4182653.006,553444.3481,4182633.482,553429.2174,4182653.588,553455.1632,4182673.113,5.2,7,46.64,
327,134,553413.0196,4182666.664,553393.3822,4182650.542,553372.674,4182675.765,553392.3114,4182691.887,5.26,7,46.64,
336,273,553427.1513,4182698.775,553400.9062,4182679.458,553385.793,4182699.991,553412.0381,4182719.308,5.28,7,46.64,
349,627,553411.2949,4182686.25,553387.676,4182664.039,553370.3345,4182682.48,553393.9534,4182704.691,5.29,7,46.64,
355,710,553487.5227,4182678.313,553423.4817,4182616.647,553385.4951,4182656.096,553449.5361,4182717.763,5.31,7,46.64,
344,538,553493.6127,4182673.2,553456.6034,4182635.74,553391.4538,4182700.106,553428.4631,4182737.566,5.33,7,46.64,
