index,x,y
1,16,16
2,45,16
3,73.02927928,16.48648649
4,103.2486772,16.08571429
5,132,16
6,161,16
7,189.8315789,15.90736842
8,220.7046895,14.97718631
9,205.4347826,24.39130435
10,204.75,30.75
11,248,16
12,277,16
13,305.9074658,15.94742376
14,334.6709265,16.07454739
15,364.7688889,16.24777778
16,393,16
17,421.0732807,15.27959414
18,450.8292079,14.40717822
19,479.4038005,15.58907363
20,510.7866667,5.613333333
21,505.1204819,25.86746988
22,539.5546875,11.83789063
23,534,21
24,527.3333333,26.14285714
25,535.3170732,27.53658537
26,568.4670185,15.39577836
27,590.5,16
28,16,45
29,45,45
30,74,45
31,102.9343545,44.50547046
32,132,45
33,161,45
34,189.984375,45.015625
35,219.3829322,45.63785558
36,248,45
37,277,45
38,304.9094037,44.31766055
39,337.8799472,43.60686016
40,364,45
41,393,45
42,421.0357555,44.65513264
43,451.3786096,45.01176471
44,479.8342603,45.82091212
45,508.4902174,45.57608696
46,537.6387782,46.53253652
47,567.8569726,45.29439809
48,590.9906716,44.39365672
49,16,74
50,45.07032967,74.05054945
51,74,74
52,103,74
53,132,74
54,161,74
55,190,74
56,219,74
57,247.5156419,74.21790723
58,277.9560048,75.06064209
59,307.3186528,75.33678756
60,340.4923077,72.75576923
61,321.6282051,79.58974359
62,338,89
63,364.3967742,74.06989247
64,392.4589041,73.84246575
65,409.4166667,59.58333333
66,422.0644362,75.16728625
67,451.1961009,73.41169725
68,478.2450495,72.58787129
69,509.7181045,71.963548
70,537.6998672,72.82868526
71,567.9588529,73.72319202
72,552,62
73,590.5,74
74,16.17661692,101.1791045
75,44.8583691,102.722103
76,74,103
77,103,103
78,132,103
79,161,103
80,190,103
81,219,103
82,247.0236753,103.3641488
83,276.3601841,103.3567319
84,291.4285714,89.28571429
85,310.2491803,103.7131148
86,323.1764706,105.5343137
87,343.6764706,102.8823529
88,338,90
89,333.4285714,110.4285714
90,363.8548387,102.6129032
91,393.4375,102.7487745
92,421.9443182,103.1568182
93,450.712828,101.3323615
94,461.5,117.6666667
95,479.9843137,102.772549
96,520.2322835,102.011811
97,500.4358209,102.6447761
98,538.0697368,104.5644737
99,568.789601,102.8875453
100,590.3747954,102.7937807
101,15.34491018,133.4083832
102,45.9630485,131.8464203
103,74,132
104,103,132
105,132,132
106,160.786268,131.9933555
107,190,132
108,218.0568562,131.6845039
109,249.505814,131.2244186
110,233,140
111,275.0757946,132.200489
112,297.5225225,122.5765766
113,312.6985447,134.8066528
114,291.4666667,135.7333333
115,292.1111111,146.2222222
116,332.5219941,131.1231672
117,356,117
118,363.9670588,127.1364706
119,374,146.6111111
120,392.6935725,128.8011958
121,378.5,147
122,421.4526796,131.2371722
123,451.9211268,130.4450704
124,478.2743363,123.3657817
125,480.734375,142.8320313
126,494.9615385,121.1538462
127,511.2564935,132.9415584
128,537.7015644,132.7292419
129,568.4086294,130.8984772
130,590.2842975,132.3173554
131,16.52130045,160.8363229
132,44.65561497,160.9411765
133,75.18682796,160.1115591
134,102.9973992,160.8530559
135,131.5855263,160.2445175
136,157.3662182,158.9745889
137,176,168
138,190.1494253,159.1583653
139,217.4741935,152.5870968
140,204.4285714,174.7142857
141,214.7142857,175.5714286
142,254.2578947,157.2605263
143,277.0741722,160.4649007
144,306.0883028,161.6788991
145,323.5826087,152.4086957
146,334.4895833,170.4618056
147,366.7326316,158.3389474
148,376.4285714,175.4285714
149,394,147.1666667
150,393.6576763,164.4751037
151,399,151.5
152,422.3256997,161.2061069
153,450.2136038,161.9642005
154,480.1766055,161.7821101
155,507.5005903,162.2266824
156,539.379108,162.157277
157,566.9433526,162.3757225
158,568.5,146
159,590.5,161
160,22.7037037,184.1957672
161,3.296296296,197.4814815
162,45.14721346,189.8527865
163,73.41528239,190.2037652
164,100.9395683,188.1784173
165,119.9381443,181.5876289
166,130.779661,190.1694915
167,134.2216216,202.2432432
168,162.0907298,193.9526627
169,190.8657487,190.2753873
170,218.6043046,192.3228477
171,214.5263158,177
172,244.9652651,190.9085923
173,261.8695652,193.826087
174,278.6609499,189.8680739
175,302.9926036,190.6863905
176,337.1103253,189.3451202
177,364.8978562,192.4211854
178,392.921466,189.9057592
179,421.8736501,189.4730022
180,451,190
181,480,190
182,509,190
183,538,190
184,567,190
185,590.5,190
186,13.00227273,225.45
187,25.42857143,211.5714286
188,31,213
189,46.05174353,219.5376828
190,70.63951735,215.8612368
191,104.607565,213.7565012
192,131.2118644,205.7542373
193,142.8083832,223.5508982
194,122.7597765,227.5586592
195,147.3846154,206.8076923
196,168.7272727,216.8760331
197,147.6470588,226.0147059
198,191.8838028,224.4419014
199,208.2194245,220.9928058
200,232.0218978,215.9343066
201,240.2417303,215.4910941
202,257.993865,227.0368098
203,281.672973,211.7
204,274.7126437,228.4224138
205,304.2840617,218.8598972
206,339.3972835,221.1426146
207,363.0034014,218.19161
208,393.6856618,215.5404412
209,381,233.1052632
210,422.5236908,220.0199501
211,451,219
212,479.6734043,218.9319149
213,510.7552534,218.3016069
214,538,219
215,567,219
216,590.5,219
217,16,248
218,45,248
219,66.72107438,248.3884298
220,117.6666667,233.3333333
221,108.8461538,257.5384615
222,132.7096774,245.1225806
223,142.5,233
224,149,233
225,164.9885321,252.912844
226,190.0563063,246.9436937
227,214.3530655,247.7780127
228,233.6818182,239.5454545
229,245.5345455,246.0854545
230,261.2307692,262.1538462
231,279.4622356,246.7779456
232,263.5833333,262.1666667
233,308.4095745,247.3031915
234,301,263
235,333.057931,246.7241379
236,364.6082949,247.6728111
237,382.1105769,247.7980769
238,400.8608247,240.7731959
239,395.1388889,256.0833333
240,403.962963,262.0740741
241,425.5689655,238.3586207
242,407.3333333,246.8333333
243,431.168,259.008
244,408.5,262
245,451.1684211,247.98
246,480,248
247,509,248
248,538,248
249,567,248
250,590.5,248
251,16,277
252,45,277
253,72.87383178,278.2780374
254,102.4869432,280.2995392
255,146.3333333,262.6666667
256,125.4947368,284.1614035
257,129.7727273,280.7727273
258,147,285.5
259,166.0764706,272.4215686
260,149.627907,283.1627907
261,164.5,292
262,177.1756757,279.9932432
263,198.8863636,275.5994318
264,219,262
265,204.5333333,280.3111111
266,219.7687075,277.8503401
267,233.625,290
268,247.6554455,275.7267327
269,265.4336283,270.460177
270,284.1884498,272.5927052
271,274.1428571,284.7857143
272,284.4,291.2
273,302.6460768,278.2871452
274,311.2,262.4
275,319.6956522,264.4782609
276,336.8240741,275.9555556
277,334,262
278,325.4042553,290.3191489
279,364.9075908,276.1617162
280,351.5,292
281,403.251462,270.5321637
282,383.248927,281.7725322
283,404.9215686,289.0980392
284,423.0149942,277.6782007
285,450.5339196,274.8241206
286,480.175219,274.6095119
287,510.6183206,273.7832061
288,538,277
289,567,277
290,590.5,277
291,15.78716578,305.9540107
292,44.67305644,306.2055378
293,60.58333333,291.8333333
294,75.05902384,306.9330306
295,102.8734177,306.1972574
296,131.4978402,306.4481641
297,167.9611111,296.55
298,149.5493827,311.382716
299,192.1626712,303.4058219
300,215.8337662,309.8233766
301,233.6666667,291.3333333
302,213.8125,297.1875
303,241.2615385,303.9846154
304,259.6818182,298.1363636
305,283.6341463,296.304878
306,266.3188406,298.7101449
307,287.7741935,317.8870968
308,310.6837209,295.1162791
309,315.7721519,308.4177215
310,306.734375,317.578125
311,291.3,318.6
312,323.671875,294.03125
313,348.5909091,295.7272727
314,336.1805556,307.1423611
315,323.22,307.36
316,349.6666667,320.6666667
317,375.3582888,301.3368984
318,350.5,295
319,357.2236842,312.3815789
320,352.3076923,320.6153846
321,379.9791667,302.875
322,400.6415094,299.4603774
323,391.8045977,318.5517241
324,423.143898,299.6757741
325,413.754386,317.2280702
326,439.797619,299.547619
327,457.5,296.5
328,460.7007874,312.2204724
329,483.1703125,308.46875
330,469.2,295.3
331,495.6666667,291.1666667
332,510.7291382,308.8235294
333,537.6505495,305.8153846
334,566.8563596,305.5635965
335,590.5,306
336,16,335
337,45,335
338,74,335
339,103,335
340,132,335
341,157.8908795,338.3094463
342,198.3225806,323.8602151
343,187.125,343.972973
344,204.3333333,338.6666667
345,223.235474,331.8715596
346,225.5,320
347,205,338.7142857
348,246.5,320.3333333
349,243.8765432,339.2078189
350,288.6835443,324.556962
351,273.2227488,338.1137441
352,268.5,348
353,306.3939394,333.4461279
354,343.0825688,327.9082569
355,320,326.5
356,326.3571429,332.2857143
357,337.5,347.5
358,352.2467532,324.7272727
359,375.029703,344.9009901
360,395.3293173,327.4457831
361,408,338.5
362,379.4222222,344.1555556
363,412,320
364,423.0685185,338.9277778
365,463.9444444,332.2222222
366,444.4572127,339.2640587
367,476.9812834,334.3489305
368,509.9544444,334.6966667
369,538.0567227,335.1323529
370,566.6941046,334.3359288
371,590.1589286,335.4428571
372,16,364
373,45,364
374,74,364
375,103,364
376,132,364
377,161,364
378,187.7333333,365.8025641
379,217.4211503,368.6141002
380,233.2,378.6
381,249.0483516,362.4659341
382,234.7777778,378.5555556
383,268.5,349.5
384,277.8053691,366.2774049
385,301.2727273,357.7435065
386,314.375,358.25
387,317.7777778,358.1111111
388,319.5,372.5
389,302.1463415,376.195122
390,320,378
391,337.5,349
392,321,372.5
393,342.3888889,375.7777778
394,321.8571429,378.0714286
395,375.0952381,349.7619048
396,364.8723404,370.6808511
397,378.8,349.4
398,403.1888112,372.4685315
399,428.2142857,352.2678571
400,424.3061224,365.5265306
401,408.64,366.4
402,407.25,375.75
403,432.3333333,374.1666667
404,412.5,377.5
405,446.5565217,361.2369565
406,464.2115385,356.8269231
407,476.4200627,355.4075235
408,493,367.6666667
409,471,378
410,510.3117783,364.1524249
411,538,364
412,566.9306723,363.9548319
413,590.3213058,363.6804124
414,16,393
415,45,393
416,74,393
417,103,393
418,132,393
419,161,393
420,189.8146186,392.7447034
421,218.7533632,393.0168161
422,235.0555556,382.6296296
423,243.1111111,378.7777778
424,261.0833333,389
425,249.270073,390.7883212
426,233,394
427,260.9,404
428,235.1111111,404.5555556
429,248.6285714,404.0571429
430,273.6081081,391.9408784
431,302.4390244,380.9268293
432,320.2,379.3
433,318.68,397.86
434,298.3605769,401.8028846
435,322,379.5
436,341.5,378
437,332.6175115,394.6129032
