index,x,y
1,1600,1600
2,4500,1600
3,7302,1648
4,10324,1608
5,13200,1600
6,16100,1600
7,18983,1590
8,22070,1497
9,20543,2439
10,20475,3075
11,24800,1600
12,27700,1600
13,30590,1594
14,33467,1607
15,36476,1624
16,39300,1600
17,42107,1527
18,45082,1440
19,47940,1558
20,51078,561
21,50512,2586
22,53955,1183
25,53531,2753
26,56846,1539
27,59050,1600
28,1600,4500
29,4500,4500
30,7400,4500
31,10293,4450
32,13200,4500
33,16100,4500
34,18998,4501
35,21938,4563
36,24800,4500
37,27700,4500
38,30490,4431
39,33787,4360
40,36400,4500
41,39300,4500
42,42103,4465
43,45137,4501
44,47983,4582
45,50849,4557
46,53763,4653
47,56785,4529
48,59099,4439
49,1600,7400
50,4507,7405
51,7400,7400
52,10300,7400
53,13200,7400
54,16100,7400
55,19000,7400
56,21900,7400
57,24751,7421
58,27795,7506
59,30731,7533
60,34049,7275
61,32162,7958
63,36439,7406
64,39245,7384
65,40941,5958
66,42206,7516
67,45119,7341
68,47824,7258
69,50971,7196
70,53769,7282
71,56795,7372
72,55200,6200
73,59050,7400
74,1617,10117
75,4485,10272
76,7400,10300
77,10300,10300
78,13200,10300
79,16100,10300
80,19000,10300
81,21900,10300
82,24702,10336
83,27636,10335
84,29142,8928
85,31024,10371
86,32317,10553
87,34367,10288
90,36385,10261
91,39343,10274
92,42194,10315
93,45071,10133
94,46150,11766
95,47998,10277
96,52023,10201
97,50043,10264
98,53806,10456
99,56878,10288
100,59037,10279
101,1534,13340
102,4596,13184
103,7400,13200
104,10300,13200
105,13200,13200
106,16078,13199
107,19000,13200
108,21805,13168
109,24950,13122
110,23300,14000
111,27507,13220
112,29752,12257
113,31269,13480
114,29146,13573
115,29211,14622
116,33252,13112
117,35600,11700
118,36396,12713
119,37400,14661
120,39269,12880
121,37850,14700
122,42145,13123
123,45192,13044
124,47827,12336
125,48073,14283
126,49496,12115
127,51125,13294
128,53770,13272
129,56840,13089
130,59028,13231
131,1652,16083
132,4465,16094
133,7518,16011
134,10299,16085
135,13158,16024
136,15736,15897
137,17600,16800
138,19014,15915
139,21747,15258
140,20442,17471
142,25425,15726
143,27707,16046
144,30608,16167
145,32358,15240
146,33448,17046
147,36673,15833
148,37642,17542
149,39400,14716
150,39365,16447
152,42232,16120
153,45021,16196
154,48017,16178
155,50750,16222
156,53937,16215
157,56694,16237
158,56850,14600
159,59050,16100
160,2270,18419
161,329,19748
162,4514,18985
163,7341,19020
164,10093,18817
165,11993,18158
167,13422,20224
168,16209,19395
169,19086,19027
170,21860,19232
172,24496,19090
173,26186,19382
174,27866,18986
175,30299,19068
176,33711,18934
177,36489,19242
178,39292,18990
179,42187,18947
180,45100,19000
181,48000,19000
182,50900,19000
183,53800,19000
184,56700,19000
185,59050,19000
186,1300,22545
188,3100,21300
189,4605,21953
190,7063,21586
191,10460,21375
