index,x,y,connected
1,16,16,TRUE
2,45,16,TRUE
3,73.02927928,16.48648649,TRUE
4,103.2486772,16.08571429,TRUE
5,132,16,TRUE
6,161,16,TRUE
7,189.8315789,15.90736842,TRUE
8,220.7046895,14.97718631,TRUE
9,205.4347826,24.39130435,TRUE
10,204.75,30.75,TRUE
11,248,16,TRUE
12,277,16,TRUE
13,305.9074658,15.94742376,TRUE
14,334.6709265,16.07454739,TRUE
15,364.7688889,16.24777778,TRUE
16,393,16,TRUE
17,421.0732807,15.27959414,TRUE
18,450.8292079,14.40717822,TRUE
19,479.4038005,15.58907363,TRUE
20,510.7866667,5.613333333,TRUE
21,505.1204819,25.86746988,TRUE
22,539.5546875,11.83789063,TRUE
23,534,21,FALSE
24,527.3333333,26.14285714,FALSE
25,535.3170732,27.53658537,TRUE
26,568.4670185,15.39577836,TRUE
27,590.5,16,TRUE
28,16,45,TRUE
29,45,45,TRUE
30,74,45,TRUE
31,102.9343545,44.50547046,TRUE
32,132,45,TRUE
33,161,45,TRUE
34,189.984375,45.015625,TRUE
35,219.3829322,45.63785558,TRUE
36,248,45,TRUE
37,277,45,TRUE
38,304.9094037,44.31766055,TRUE
39,337.8799472,43.60686016,TRUE
40,364,45,TRUE
41,393,45,TRUE
42,421.0357555,44.65513264,TRUE
43,451.3786096,45.01176471,TRUE
44,479.8342603,45.82091212,TRUE
45,508.4902174,45.57608696,TRUE
46,537.6387782,46.53253652,TRUE
47,567.8569726,45.29439809,TRUE
48,590.9906716,44.39365672,TRUE
49,16,74,TRUE
50,45.07032967,74.05054945,TRUE
51,74,74,TRUE
52,103,74,TRUE
53,132,74,TRUE
54,161,74,TRUE
55,190,74,TRUE
56,219,74,TRUE
57,247.5156419,74.21790723,TRUE
58,277.9560048,75.06064209,TRUE
59,307.3186528,75.33678756,TRUE
60,340.4923077,72.75576923,TRUE
61,321.6282051,79.58974359,TRUE
62,338,89,FALSE
63,364.3967742,74.06989247,TRUE
64,392.4589041,73.84246575,TRUE
65,409.4166667,59.58333333,TRUE
66,422.0644362,75.16728625,TRUE
67,451.1961009,73.41169725,TRUE
68,478.2450495,72.58787129,TRUE
69,509.7181045,71.963548,TRUE
70,537.6998672,72.82868526,TRUE
71,567.9588529,73.72319202,TRUE
72,552,62,TRUE
73,590.5,74,TRUE
74,16.17661692,101.1791045,TRUE
75,44.8583691,102.722103,TRUE
76,74,103,TRUE
77,103,103,TRUE
78,132,103,TRUE
79,161,103,TRUE
80,190,103,TRUE
81,219,103,TRUE
82,247.0236753,103.3641488,TRUE
83,276.3601841,103.3567319,TRUE
84,291.4285714,89.28571429,TRUE
85,310.2491803,103.7131148,TRUE
86,323.1764706,105.5343137,TRUE
87,343.6764706,102.8823529,TRUE
88,338,90,FALSE
