index,x,y,connected,
1,3.636363636,3.272727273,TRUE,altitude=20
2,7.5,3.5,TRUE,kout=0
3,11.5,3.5,TRUE,kin=0
4,14.75,3,TRUE,resolution=5
5,17.5,1.5,TRUE,
6,19,5.5,TRUE,
7,25.38461538,3.307692308,TRUE,
8,27.5,3.5,TRUE,
9,31.12903226,3.516129032,TRUE,
10,37.14285714,1.857142857,TRUE,
11,33.28571429,3.571428571,TRUE,
12,40.03448276,3.275862069,TRUE,
13,41.5,3.5,TRUE,
14,46,3,TRUE,
15,47,3.5,TRUE,
16,53.6,3.1,TRUE,
17,55.64705882,3.382352941,TRUE,
18,59.5,3.5,TRUE,
19,62.75,4,TRUE,
20,68,3.888888889,TRUE,
21,71.41935484,3.419354839,TRUE,
22,75.125,3.375,TRUE,
23,79.60869565,3.565217391,TRUE,
24,83.27777778,3.055555556,TRUE,
25,88.08333333,3,TRUE,
26,90.75,3,TRUE,
27,95.1,1.4,TRUE,
28,99.5,1,TRUE,
29,104.6923077,2.384615385,TRUE,
30,107.7272727,3.363636364,TRUE,
31,111.1875,3.625,TRUE,
32,114.6153846,4.692307692,TRUE,
33,117.6666667,5.666666667,TRUE,
34,124.8333333,4,TRUE,
35,127.2,3.9,TRUE,
36,131.6774194,3.838709677,TRUE,
37,135.5454545,3.727272727,TRUE,
38,139.5,3.5,TRUE,
39,143.3636364,3.727272727,TRUE,
40,147.5,4,TRUE,
41,151.6176471,3.647058824,TRUE,
42,154.7391304,3.869565217,TRUE,
43,159.5,5.5,TRUE,
44,164.2857143,4.285714286,TRUE,
45,167.5,3.5,TRUE,
46,171.5,3.5,TRUE,
47,175.5,3.5,TRUE,
48,179.5,3.5,TRUE,
49,183.5,3.5,TRUE,
50,187.5,3.5,TRUE,
51,191.5,3.5,TRUE,
52,195.5,3.5,TRUE,
53,199.5,3.5,TRUE,
54,203.5,3.5,TRUE,
55,207.1612903,3.225806452,TRUE,
56,211.1176471,2,TRUE,
57,216.173913,3.086956522,TRUE,
58,217.4545455,3.727272727,TRUE,
59,224.5909091,3.727272727,TRUE,
60,227.5,3.5,TRUE,
61,231.5,3.5,TRUE,
62,235.5,3.5,TRUE,
63,239.5,3.5,TRUE,
