id,path length,runtime,step size,goal bias,altitude,origin,destination,search space,,,,,,,,,,,
1556582542,1818.16964,2.244035006,50,0,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582559,1750.713189,1.346668959,50,0,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582603,1711.527831,1.607021093,50,0,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582620,1794.005732,1.771019936,50,0,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582626,1728.882523,1.248848915,50,0,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582649,1736.801901,2.507258177,50,0.05,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582673,1849.744657,2.802868128,50,0.05,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582680,1738.06096,2.330862045,50,0.05,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582686,1721.856266,2.116245985,50,0.05,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582693,1966.014704,2.881040096,50,0.05,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582708,1763.610152,1.754689932,50,0.1,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582715,1848.742318,2.052469969,50,0.1,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582721,1960.30684,2.117153883,50,0.1,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582727,1567.001553,1.111483097,50,0.1,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582732,1961.114418,1.521475077,50,0.1,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582750,1693.603269,0.717082024,50,0.2,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582755,2003.837399,3.141484022,50,0.2,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582763,1712.760138,1.227226973,50,0.2,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582768,1477.732768,0.981995106,50,0.2,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582773,1480.470107,1.510019064,50,0.2,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582788,2339.961427,4.828880072,50,0.3,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582800,2091.519157,3.751530886,50,0.5,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582807,1465.825898,2.025260925,50,0.5,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582813,1800.159798,3.179004908,50,0.5,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582819,1665.604636,2.344521046,50,0.5,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582825,1450.185053,1.464633942,50,0.5,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582841,1814.275008,5.929659128,50,0.7,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582850,1545.125798,1.484599829,50,0.7,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582855,1607.103747,1.646768093,50,0.7,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582860,1596.403875,1.667155027,50,0.7,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582865,1529.340963,1.529477835,50,0.7,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582875,1518.463533,6.908335924,50,0.9,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582885,1528.629718,4.86165309,50,0.9,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
1556582894,2069.981575,8.721709967,50,0.9,65.71,"x = 552182, y = 4182354, obs = -1 and test:-1","x = 553533, y = 4182497, obs = -1 and test:-1",20 percent expansion,,,,,,,,,,,
