index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height
1,552425.9004569831,4183083.151412156,552444.015864559,4183086.4673213526,552440.3855953232,4183106.300134291,552422.2701877473,4183102.9842250943,13.63
2,552900.958717093,4183364.200823773,552897.0087930515,4183386.1079872963,552878.6839368927,4183382.803963486,552882.6338609342,4183360.896799963,146.07
3,553053.0519579756,4182863.684728205,553094.4618770345,4182905.323960419,553059.2472652635,4182940.3446403313,553017.8373462046,4182898.7054081177,17.04
4,552350.1190378432,4182611.2987714247,552347.2590680007,4182628.480187559,552329.5852572493,4182625.538255104,552332.4452270918,4182608.3568389695,20.13
5,552674.2198108792,4183437.0119508435,552692.6277050484,4183439.9806530755,552690.6219239166,4183452.4178070617,552672.2140297474,4183449.4491048297,5.36
6,552861.5615204348,4183441.5308371233,552864.1552480268,4183422.8465910074,552882.0025896335,4183425.324140387,552879.4088620414,4183444.008386503,5.49
7,553377.560502985,4182643.2191110747,553397.695102341,4182623.62653319,553408.6455839947,4182634.879955897,553388.5109846387,4182654.472533782,12.27
8,552968.3144879196,4183617.932770462,552970.5424783209,4183602.8480929094,552985.5561451383,4183605.065595103,552983.328154737,4183620.1502726553,13.55
9,552936.2144760652,4183370.1212779586,552932.7719502016,4183392.105521728,552914.6934626356,4183389.274600561,552918.1359884993,4183367.2903567916,91.56
10,553349.7771413375,4182960.8237442295,553324.0176156841,4182934.8406195035,553359.9303171039,4182899.236966622,553385.6898427573,4182925.220091348,79.22
11,553572.3374463879,4182817.7696608417,553525.2333150273,4182864.1973285815,553496.8991569709,4182835.4503342127,553544.0032883314,4182789.022666473,13.83
12,552923.4528678332,4183422.0289092865,552896.8604365974,4183417.461944743,552901.0067123204,4183393.319092089,552927.5991435562,4183397.8860566323,14.18
13,552370.7098074205,4183549.3240962997,552375.1082087856,4183522.852962508,552391.2633733844,4183525.5372788874,552386.8649720192,4183552.008412679,3.59
14,553450.2648184828,4182578.4104092186,553462.0662021723,4182590.518535368,553451.2320726872,4182601.078197319,553439.4306889977,4182588.9700711695,170.69
15,552575.4035962818,4182523.0952100353,552621.3824680252,4182530.767868103,552614.194307953,4182573.84335604,552568.2154362096,4182566.170697972,17.9
16,552989.9404591279,4183530.134833851,553023.0747330919,4183525.463222013,553027.6800702622,4183558.127430597,552994.5457962982,4183562.799042435,22.68
17,552235.1647605847,4182495.6202495713,552246.6807486368,4182492.6145525547,552249.6862521707,4182504.1297992985,552238.1702641186,4182507.135496315,10.84
18,552906.2320152227,4183582.0521249236,552903.5580881935,4183597.088335092,552888.1126894526,4183594.341641031,552890.7866164817,4183579.3054308626,5.29
19,553393.6081474521,4182697.660971924,553377.3742983709,4182682.1944912868,553387.9393717295,4182671.105232492,553404.1732208107,4182686.571713129,13.01
20,552829.9332492881,4183368.30566712,552849.7203692453,4183371.8451214223,552846.3145899782,4183390.8849386224,552826.527470021,4183387.34548432,19.62
21,552970.1205029002,4183645.334265133,553030.1209019927,4183655.4308448704,553026.023812923,4183679.778394801,552966.0234138306,4183669.6818150636,21.63
22,552491.072718821,4182872.443713232,552495.5295070182,4182845.097011717,552517.647274635,4182848.7016221527,552513.1904864379,4182876.0483236676,103.9
23,552698.5659556764,4182672.430307238,552683.4156497598,4182670.196811502,552685.1613021641,4182658.355657063,552700.3116080806,4182660.589152799,11.48
24,552871.6015626978,4183582.4428507425,552882.7730138589,4183584.206992775,552881.0616857685,4183595.0439989963,552869.8902346074,4183593.2798569635,3.9
25,553122.636524216,4183514.3491808195,553117.168243728,4183546.5747914943,553099.51841403,4183543.579837564,553104.986694518,4183511.354226889,14.63
26,552544.3437188192,4183565.3791796695,552541.3737856788,4183582.2856974937,552514.5552526605,4183577.5745410733,552517.525185801,4183560.6680232496,3.28
27,553500.3094302991,4182639.463778536,553510.8863734594,4182629.232960371,553519.4882023688,4182638.1258029556,553508.9112592086,4182648.35662112,15.35
28,553031.4250487868,4183561.4942831323,553027.6830991752,4183583.282224725,552987.597645562,4183576.397786058,552991.3395951736,4183554.6098444653,14.01
29,552899.7118818968,4183596.53713643,552894.1793648888,4183630.0953219775,552863.1602885869,4183624.981411186,552868.6928055949,4183591.4232256385,18.4
30,552476.9036282324,4183091.898030235,552472.2269331625,4183119.842443419,552455.8765120773,4183117.1060848786,552460.5532071472,4183089.1616716944,0.78
31,552762.5832179062,4183571.1003402453,552765.2631925285,4183556.2843662705,552777.4816222998,4183558.494486359,552774.8016476774,4183573.3104603337,13.38
32,552534.3288637414,4183496.1896282365,552514.2902565151,4183492.84314369,552517.0675915983,4183476.2125792583,552537.1061988245,4183479.559063805,13.63
33,552367.6470996886,4183548.773795903,552347.4311587014,4183545.543097576,552350.2285928881,4183528.0382863213,552370.4445338753,4183531.2689846484,16.76
34,552351.2714878093,4183518.5870222016,552380.1452336642,4183523.355719365,552376.9722864407,4183542.5674387515,552348.0985405857,4183537.798741588,13.7
35,553066.3539057141,4183484.222995208,553050.3107577788,4183481.651515354,553054.0667792545,4183458.2181572877,553070.1099271898,4183460.789637142,14.24
36,552923.001054496,4183603.7019724054,552921.3054613175,4183638.7228379142,552889.1302081924,4183637.16501977,552890.8258013709,4183602.1441542613,32.36
37,552397.8041976127,4183399.833666586,552393.1646891087,4183426.0484934743,552367.7850794874,4183421.556801991,552372.4245879913,4183395.3419751027,13.99
38,552685.7273485011,4181965.0869250167,552677.3474566878,4181975.2117730738,552667.4417218429,4181967.0132316374,552675.8216136561,4181956.8883835804,13.12
39,552939.1737393731,4183387.916958833,552936.3916482654,4183405.875939877,552916.3003496641,4183402.7635236965,552919.0824407717,4183384.804542653,11.82
40,552358.2087546169,4183546.9258072507,552360.9679960862,4183529.7480372367,552378.6017320412,4183532.5805198853,552375.8424905719,4183549.758289899,79.73
41,552686.9580258827,4183226.9476130367,552679.1667165403,4183274.1319028614,552643.1853311787,4183268.190473946,552650.9766405211,4183221.006184121,28.48
42,552375.4625376987,4183374.9869017326,552417.1292432207,4183382.2121309023,552411.8625076673,4183412.5845266036,552370.1958021453,4183405.359297434,15.57
43,553012.8013420716,4183508.438155071,552994.2560170706,4183505.3245107443,552997.9434323903,4183483.3617210505,553016.4887573913,4183486.475365377,168.48
44,553207.6918192243,4182929.210280344,553158.9076955642,4182880.336684798,553196.8563965161,4182842.4574557524,553245.6405201762,4182891.3310512984,12.92
45,552678.2643046647,4182654.70370267,552692.5485860901,4182657.231295692,552690.3777942365,4182669.499173269,552676.0935128111,4182666.9715802474,15.58
46,552375.7629085511,4182383.974270376,552362.3245283887,4182381.792751852,552364.5033734756,4182368.370840339,552377.9417536381,4182370.552358863,6.46
47,553375.5386246503,4182716.226408725,553355.6615852658,4182695.623997252,553366.677720001,4182684.995719864,553386.5547593855,4182705.598131337,13.02
48,552857.0280200299,4183409.0845390027,552860.3433055336,4183390.2040278185,552873.4052865977,4183392.497620193,552870.0900010939,4183411.378131377,21.13
49,552459.0460486311,4183118.417598821,552435.4325210511,4183113.9945697957,552440.6526625032,4183086.1254435857,552464.2661900831,4183090.5484726112,12.54
50,552886.308804474,4183595.890709264,552875.1390858389,4183594.121789122,552876.8551184263,4183583.2860251367,552888.0248370613,4183585.054945279,5.41
51,553459.2751708047,4182662.7124524335,553445.9146436255,4182680.569714803,553433.6728533416,4182671.41059688,553447.0333805208,4182653.553334511,10.84
52,552403.6515101814,4183527.8788779248,552399.7748340464,4183551.5543054007,552383.968186158,4183548.966083722,552387.844862293,4183525.2906562462,95.39
53,552541.5222669542,4182549.0478046765,552526.8269770851,4182546.770768288,552528.9312585718,4182533.1903852196,552543.6265484409,4182535.467421608,23.21
54,552522.8584697885,4183558.348359968,552493.6405430324,4183553.485989958,552497.3200843453,4183531.3756675515,552526.5380111013,4183536.2380375615,5.26
55,553391.6174586583,4182684.849997493,553379.7077899068,4182675.069453792,553394.0732041942,4182657.5768346833,553405.9828729457,4182667.357378384,13.23
56,553046.429692217,4183394.6545757432,553065.1701155623,4183397.7878593584,553062.1571976581,4183415.8083656286,553043.4167743128,4183412.6750820135,12.72
57,552999.160732962,4183523.9447333915,552996.853972329,4183538.5612288276,552981.9359449818,4183536.206880731,552984.2427056148,4183521.590385295,17.84
58,553033.800953953,4183505.5705769975,553033.9340435818,4183536.682880853,553001.1604809421,4183536.8230768763,553001.0273913132,4183505.710773021,18.01
59,553023.0731727099,4183633.6957993098,552989.9970593425,4183628.770017022,552994.6278948899,4183597.674440199,553027.7040082574,4183602.600222487,13.69
60,552860.6319553488,4183418.101205778,552838.771911305,4183414.36772865,552841.6132804357,4183397.7311048773,552863.4733244794,4183401.464582005,17.05
61,552445.5015825627,4183530.842624444,552441.9605049669,4183552.5142476046,552412.9777007186,4183547.7785451594,552416.5187783143,4183526.106921999,21.71
62,552507.0859395154,4182522.847644273,552505.0031865193,4182535.659889464,552494.203860485,4182533.9043557285,552496.2866134811,4182521.092110538,69.88
63,552644.0903309183,4182852.1725278613,552636.5393958311,4182897.089771668,552604.6133657866,4182891.722759803,552612.1643008739,4182846.805515996,15.78
64,553151.2789333609,4183229.0398470387,553175.3304160291,4183223.1829761853,553181.1463163478,4183247.0662116567,553157.0948336797,4183252.92308251,15.79
65,552328.2969014011,4182632.98129951,552331.2704349088,4182615.536098168,552349.3648718044,4182618.6202938366,552346.3913382967,4182636.0654951786,4.84
66,552483.1574618826,4183141.9088964276,552496.637943839,4183144.304997941,552493.2635905122,4183163.2891306593,552479.7831085558,4183160.893029146,13.15
67,553058.4605903927,4183392.9571413686,553076.2516229661,4183395.990976222,553073.0594838421,4183414.7103376524,553055.2684512687,4183411.676502799,13.1
68,553075.2146965597,4183404.918691375,553072.1730642731,4183423.6265661726,553054.4457082413,4183420.744352183,553057.4873405279,4183402.036477385,17.53
69,553012.558685466,4183657.1789950677,552978.531713705,4183655.773009617,552979.8797339445,4183623.1488835355,553013.9067057056,4183624.5548689864,7.89
70,553122.2424150304,4183451.727314317,553148.3460195208,4183455.815485236,553145.1696686206,4183476.096977685,553119.0660641302,4183472.0088067665,12.82
71,553529.6486209314,4183338.270668639,553540.4532486089,4183345.026028198,553534.0052483534,4183355.339060602,553523.2006206759,4183348.5837010434,4.26
72,553141.6313486132,4183444.2897261363,553143.8958275325,4183430.6039451677,553155.0985944727,4183432.4575792155,553152.8341155534,4183446.143360184,120.05
73,552798.7120129007,4182880.6174528836,552807.4274635572,4182829.593395091,552858.2168457162,4182838.2687606583,552849.5013950597,4182889.292818451,13.46
74,552855.8080934231,4183356.5379182464,552852.4208282125,4183378.359935743,552834.2969009732,4183375.5466968557,552837.6841661838,4183353.7246793592,9.0
