id,path length,smoothed path length,runtime,runtime with smoothing,step size,goal bias,altitude,origin_x,origin_y,destination_x,destination_y
1556745593.27189,1325.0000000002453,1156.8040066735605,156.91363906860352,205.4774031639099,5,0.2,13.95,552086,4182792,553126,4182157
id,path length,smoothed path length,runtime,runtime with smoothing,step size,goal bias,altitude,origin_x,origin_y,destination_x,destination_y
1556745895.020506,1824.9951259399961,1588.6271420235048,132.2910749912262,174.4386670589447,5,0.2,13.95,552086,4182792,553126,4182157
1556746154.882934,2010.0000000006733,1527.2406195442873,216.67340993881226,241.43035697937012,5,0.5,13.95,552086,4182792,553126,4182157
1556746431.642483,1961.671928924301,1762.3973590883138,154.0507891178131,192.89459705352783,5,0.2,13.95,552086,4182792,553126,4182157
1556746746.008012,1883.477534491488,1633.447956220559,44.972007036209106,62.338292837142944,10,0.2,8.79,552086,4182792,553126,4182157
1556747271.061018,1959.3235059708106,1776.8193800235408,24.980273962020874,40.133492946624756,10,0.2,8.79,552182,4182354,553533,4182497
1556747355.202252,610.0000000009087,464.38439262267264,148.5625820159912,182.53754115104675,10,0.2,8.79,552288,4182078,553004,4183309
1556747593.300944,3081.9884167662735,2664.8807119040007,174.31745982170105,222.13060784339905,10,0.2,8.79,552288,4182078,553004,4183309
1556748073.002376,2651.6324868678785,2211.8478047234635,84.78283190727234,104.04291796684265,10,0.2,8.79,552528,4181963,552751,4183657
1556748269.958711,2747.1135640991115,2222.3699153373354,134.2275140285492,148.59075617790222,10,0.2,8.79,552528,4181963,552751,4183657
1556748555.501993,3087.3229791479685,2569.8883294141915,78.2191891670227,87.40548014640808,10,0.2,8.79,552198,4182276,553252,4183300
1556748690.449012,1669.9999999996617,1359.9940369143114,224.48320984840393,239.69635605812073,5,0.2,8.79,552198,4182276,553252,4183300
1556749016.640709,1356.96520341453,1047.9756386762042,1421.5603141784668,1428.5078029632568,10,0.2,8.79,552226,4183360,553782,4182919
1556827782.667075,3280.00000000232,2720.4461194613996,762.5238370895386,767.5565099716187,10,0.1,8.79,552226,4183360,553782,4182930
1556828917.239508,2140.0000000010236,1735.3383474337759,950.1541550159454,959.1187410354614,10,0.1,26.82,552226,4183360,553782,4182930
1556830198.767701,1599.9999999997087,1242.6341292369398,1349.4489161968231,1358.234225988388,10,0.1,26.82,552226,4183360,553782,4183500
