,index,point1x,point1y,point2x,point2y,point3x,point3y,point4x,point4y,height,cluster,z
0,11,552971.315281,4182405.8052,552941.341998,4182375.58197,552920.622523,4182396.1301,552950.595807,4182426.35332,17.15,0,39.01
1,19,552887.356882,4182234.61135,552861.115238,4182208.59962,552829.624101,4182240.3691,552855.865745,4182266.38083,21.91,0,39.01
2,21,553175.093623,4182280.31701,552687.169308,4182075.18383,552659.284708,4182141.50939,553147.209023,4182346.64258,25.19,0,39.01
3,44,553101.439961,4182342.53041,553081.734035,4182322.67005,553049.638215,4182354.5163,553069.344142,4182374.37666,8.06,0,39.01
4,45,553070.901591,4182312.44933,553038.008749,4182278.90824,553010.553478,4182305.83289,553043.44632,4182339.37397,19.19,0,39.01
5,71,553060.840404,4182337.51292,553041.02924,4182317.44771,553008.011722,4182350.04718,553027.822886,4182370.1124,22.88,0,39.01
6,80,552965.789657,4182432.61585,552941.88262,4182408.55398,552909.938622,4182440.29243,552933.845659,4182464.3543,16.23,0,39.01
7,88,552975.4733,4182409.93345,552941.298896,4182375.67112,552910.71054,4182406.18098,552944.884944,4182440.44331,20.93,0,39.01
8,109,553019.875731,4182367.87673,552984.418301,4182332.60396,552952.099383,4182365.09207,552987.556813,4182400.36484,22.1,0,39.01
9,111,553251.842789,4182342.2116,553232.635334,4182322.89034,553192.026801,4182363.25969,553211.234256,4182382.58095,22.98,0,39.01
10,118,553195.120948,4182270.31101,553175.392494,4182250.54198,553152.882268,4182273.00601,553172.610722,4182292.77504,9.27,0,39.01
11,120,552989.128248,4182435.0679,552965.718886,4182411.38055,552927.082716,4182449.56329,552950.492078,4182473.25064,7.08,0,39.01
12,163,552982.703924,4182329.11578,552950.066101,4182296.2361,552917.84427,4182328.22091,552950.482092,4182361.1006,25.24,0,39.01
13,166,552692.767611,4181964.42692,552675.160787,4181949.8485,552660.401407,4181967.67387,552678.008231,4181982.25229,13.99,0,39.01
14,170,553132.238384,4182374.00104,553112.128357,4182353.45084,553061.517193,4182402.97794,553081.62722,4182423.52814,12.95,0,39.01
15,181,552963.333701,4182037.32257,552926.400582,4182000.24663,552877.661239,4182048.79822,552914.594359,4182085.87416,10.88,0,39.01
16,187,552846.918026,4181929.66996,552784.127599,4181866.72614,552738.310863,4181912.43122,552801.101289,4181975.37504,24.97,0,39.01
17,199,552748.6374,4182368.17687,552724.646217,4182344.40851,552693.226117,4182376.12316,552717.217301,4182399.89152,19.92,0,39.01
18,218,552863.302904,4182249.83813,552841.48313,4182227.92893,552811.407374,4182257.88193,552833.227149,4182279.79112,22.62,0,39.01
19,227,553142.757502,4182385.08892,553118.085317,4182359.87331,553067.422933,4182409.44386,553092.095119,4182434.65947,12.9,0,39.01
20,268,553251.822017,4182328.08131,553219.6591,4182295.76914,553172.609899,4182342.60101,553204.772816,4182374.91318,24.11,0,39.01
21,285,553189.894614,4182264.60698,553170.22861,4182245.09783,553142.699482,4182272.84829,553162.365486,4182292.35744,12.56,0,39.01
22,289,552910.097028,4182340.15475,552878.302032,4182308.28633,552828.509668,4182357.96398,552860.304664,4182389.8324,32.03,0,39.01
23,292,552872.169845,4182254.40544,552851.341979,4182233.50588,552818.703721,4182266.03218,552839.531587,4182286.93174,34.74,0,39.01
24,294,552939.579633,4182182.40442,552900.730219,4182143.14285,552851.908155,4182191.4524,552890.757569,4182230.71397,13.09,0,39.01
25,296,552897.015124,4182412.54593,552866.037598,4182381.40264,552838.052383,4182409.2389,552869.029909,4182440.38219,25.11,0,39.01
26,308,553165.562845,4182424.10793,553146.388473,4182405.74037,553122.630682,4182430.54174,553141.805054,4182448.9093,11.6,0,39.01
27,314,553078.577757,4182321.49436,553058.961535,4182300.34488,553026.305102,4182330.63384,553045.921324,4182351.78332,19.63,0,39.01
28,324,552677.475295,4181954.82492,552657.731524,4181915.459,552618.365085,4181935.20304,552638.108856,4181974.56896,9.56,0,39.01
