Index,Final path length (m),Runtime (s),Step size (m),Goal bias,Altitude (m),Ox,Oy,Dx,Dy
1,2605.557449,8.334333897,50,0.8,100.92,552288,4182078,553004,4183309
2,2986.194109,8.290617943,50,0.8,100.92,552288,4182078,553004,4183309
3,2382.809391,7.263761997,50,0.8,100.92,552288,4182078,553004,4183309
4,2226.267136,12.04870677,50,0.8,100.92,552288,4182078,553004,4183309
5,2025.220689,9.685235024,50,0.8,100.92,552288,4182078,553004,4183309
6,2523.771285,8.545071125,50,0.8,100.92,552288,4182078,553004,4183309
7,2213.973913,7.981671095,50,0.8,100.92,552288,4182078,553004,4183309
8,2326.891553,9.947324991,50,0.8,100.92,552288,4182078,553004,4183309
9,3060.24751,10.16384506,50,0.8,100.92,552288,4182078,553004,4183309
10,10.16384506,11.64654398,50,0.8,100.92,552288,4182078,553004,4183309
11,2882.078294,8.731352091,75,0.8,100.92,552288,4182078,553004,4183309
12,1975.288025,3.064391136,75,0.8,100.92,552288,4182078,553004,4183309
13,2391.930223,13.40461397,75,0.8,100.92,552288,4182078,553004,4183309
14,2101.924304,3.155558825,100,0.8,100.92,552288,4182078,553004,4183309
15,2311.229492,4.447556973,100,0.8,100.92,552288,4182078,553004,4183309
16,2489.557664,6.127753019,100,0.8,100.92,552288,4182078,553004,4183309
17,2404.113686,1.510565043,150,0.8,100.92,552288,4182078,553004,4183309
18,3366.471565,1.806864023,200,0.8,100.92,552288,4182078,553004,4183309
19,2970.006576,1.850549221,200,0.8,100.92,552288,4182078,553004,4183309
20,2700.372078,4.136737108,300,0.8,100.92,552288,4182078,553004,4183309
21,2348.061506,1.009767056,300,0.8,100.92,552288,4182078,553004,4183309
22,3060.441669,4.551944971,150,0.7,100.92,552288,4182078,553004,4183309
23,2186.718921,1.942551136,150,0.7,100.92,552288,4182078,553004,4183309
24,2657.160033,2.851400852,150,0.7,100.92,552288,4182078,553004,4183309
25,1975.977017,1.078318119,150,0.6,100.92,552288,4182078,553004,4183309
26,2884.42173,1.624898911,150,0.6,100.92,552288,4182078,553004,4183309
27,2278.091767,1.593677998,150,0.6,100.92,552288,4182078,553004,4183309
28,2679.849855,1.433422089,150,0.5,100.92,552288,4182078,553004,4183309
29,1963.50506,0.378813982,150,0.5,100.92,552288,4182078,553004,4183309
30,2261.821433,0.890712023,150,0.5,100.92,552288,4182078,553004,4183309
31,2470.44151,1.481700897,150,0.4,100.92,552288,4182078,553004,4183309
32,2729.122792,0.916720152,150,0.4,100.92,552288,4182078,553004,4183309
33,2096.762966,0.972430944,150,0.4,100.92,552288,4182078,553004,4183309
34,2115.733026,0.900739908,150,0.3,100.92,552288,4182078,553004,4183309
35,2657.810845,0.66720295,150,0.2,100.92,552288,4182078,553004,4183309
36,1904.720652,0.552603006,150,0.2,100.92,552288,4182078,553004,4183309
37,2195.16432,0.442242861,150,0.1,100.92,552288,4182078,553004,4183309
38,2004.425183,0.615290165,150,0.05,100.92,552288,4182078,553004,4183309
39,2171.373214,0.340586901,150,0.01,100.92,552288,4182078,553004,4183309
,2499.948383,9.390711188,50,0.8ave,,,,,
,2416.432181,8.400119066,75,0.8ave,,,,,
,2300.90382,4.576956272,100,0.8ave,,,,,
,2404.113686,1.510565043,150,0.8ave,,,,,
,3168.23907,1.828706622,200,0.8ave,,,,,
,2524.216792,2.573252082,300,0.8ave,,,,,
ave,2404.113686,1.510565043,150,0.8,,,,,
ave,2634.773541,3.115298986,150,0.7,,,,,
ave,2379.496838,1.432298343,150,0.6,,,,,
ave,2301.725449,0.900982698,150,0.5,,,,,
ave,2432.109089,1.123617331,150,0.4,,,,,
ave,2115.733026,0.900739908,150,0.3,,,,,
ave,2281.265749,0.609902978,150,0.2,,,,,
ave,2195.16432,0.442242861,150,0.1,,,,,
ave,2004.425183,0.615290165,150,0.05,,,,,
ave,2171.373214,0.340586901,150,0.01,,,,,
