,Dx,Dy,Ox,Oy,dist
0,553004,4183309,552288,4182078,1424.0846182723835
1,553533,4182497,552182,4182354,1358.5470179570525
2,552751,4183657,552528,4181963,1708.6149361397963
3,553252,4183155,552198,4182276,1372.427411559533
4,553782,4182919,552226,4183360,1617.286925687585
5,553126,4182157,552086,4182792,1218.5339552101123
6,553076,4181847,553546,4183389,1612.0372204139705
7,553140,4183746,553197,4181960,1786.9093429718253
8,551967,4182657,552800,4183680,1319.2490288038873
9,552182,4182354,553580,4182968,1526.8922686293229
